match_no,Batsman,team,Run,Ball,4s,6s,out_by
1,Devon Conway,Chennai Super Kings,1,6,0,0,Mohammed Shami
1,Ruturaj Gaikwad,Chennai Super Kings,92,50,4,9,Alzarri Joseph
1,Moeen Ali,Chennai Super Kings,23,17,4,1,Rashid Khan
1,Ben Stokes,Chennai Super Kings,7,6,1,0,Rashid Khan
1,Ambati Rayudu,Chennai Super Kings,12,12,0,1,Joshua Little
1,Shivam Dube,Chennai Super Kings,19,18,0,1,Mohammed Shami
1,Ravindra Jadeja,Chennai Super Kings,1,2,0,0,Alzarri Joseph
1,MS Dhoni,Chennai Super Kings,14,7,1,1,Not Out
1,Mitchell Santner,Chennai Super Kings,1,3,0,0,Not Out
1,Wriddhiman Saha,Gujarat Titans,25,16,2,2,Rajvardhan Hangargekar
1,Shubman Gill,Gujarat Titans,63,36,6,3,Tushar Deshpande
1,Sai Sudharsan,Gujarat Titans,22,17,3,0,Rajvardhan Hangargekar
1,Hardik Pandya,Gujarat Titans,8,11,0,0,Ravindra Jadeja
1,Vijay Shankar,Gujarat Titans,27,21,2,1,Rajvardhan Hangargekar
1,Rahul Tewatia,Gujarat Titans,15,14,1,1,Not Out
1,Rashid Khan,Gujarat Titans,10,3,1,1,Not Out
2,Prabhsimran Singh,Punjab Kings,23,12,2,2,Tim Southee
2,Shikhar Dhawan,Punjab Kings,40,29,6,0,Varun Chakaravarthy
2,Bhanuka Rajapaksa,Punjab Kings,50,32,5,2,Umesh Yadav
2,Jitesh Sharma,Punjab Kings,21,11,1,2,Tim Southee
2,Sikandar Raza,Punjab Kings,16,13,1,1,Sunil Narine
2,Sam Curran,Punjab Kings,26,17,0,2,Not Out
2,Shahrukh Khan,Punjab Kings,11,7,2,0,Not Out
2,Mandeep Singh,Kolkata Knight Riders,2,4,0,0,Arshdeep Singh
2,Rahmanullah Gurbaz,Kolkata Knight Riders,22,16,3,1,Nathan Ellis
2,Anukul Roy,Kolkata Knight Riders,4,5,1,0,Arshdeep Singh
2,Venkatesh Iyer,Kolkata Knight Riders,34,28,3,1,Arshdeep Singh
2,Nitish Rana,Kolkata Knight Riders,24,17,3,1,Sikandar Raza
2,Rinku Singh,Kolkata Knight Riders,4,4,0,0,Rahul Chahar
2,Andre Russell,Kolkata Knight Riders,35,19,3,2,Sam Curran
2,Shardul Thakur,Kolkata Knight Riders,8,3,0,1,Not Out
2,Sunil Narine,Kolkata Knight Riders,7,2,0,1,Not Out
3,KL Rahul,Lucknow Super Giants,8,12,0,1,Chetan Sakariya
3,Kyle Mayers,Lucknow Super Giants,73,38,2,7,Axar Patel
3,Deepak Hooda,Lucknow Super Giants,17,18,0,0,Kuldeep Yadav
3,Krunal Pandya,Lucknow Super Giants,15,13,0,1,Not Out
3,Marcus Stoinis,Lucknow Super Giants,12,10,0,1,Khaleel Ahmed
3,Nicholas Pooran,Lucknow Super Giants,36,21,2,3,Khaleel Ahmed
3,Ayush Badoni,Lucknow Super Giants,18,7,1,2,Chetan Sakariya
3,Krishnappa Gowtham,Lucknow Super Giants,6,1,0,1,Not Out
3,Prithvi Shaw,Delhi Capitals,12,9,2,0,Mark Wood
3,David Warner,Delhi Capitals,56,48,7,0,Avesh Khan
3,Mitchell Marsh,Delhi Capitals,0,1,0,0,Mark Wood
3,Sarfaraz Khan,Delhi Capitals,4,9,1,0,Mark Wood
3,Rilee Rossouw,Delhi Capitals,30,20,3,1,Avesh Khan
3,Rovman Powell,Delhi Capitals,1,3,0,0,Avesh Khan
3,Aman Hakim Khan,Delhi Capitals,4,5,0,0,Avesh Khan
3,Axar Patel,Delhi Capitals,16,11,1,1,Mark Wood
3,Kuldeep Yadav,Delhi Capitals,6,10,0,0,Not Out
3,Chetan Sakariya,Delhi Capitals,4,4,1,0,Mark Wood
3,Mukesh Kumar,Delhi Capitals,0,1,0,0,Not Out
4,Yashasvi Jaiswal,Rajasthan Royals,54,37,9,0,Fazalhaq Farooqi
4,Jos Buttler,Rajasthan Royals,54,22,7,3,Fazalhaq Farooqi
4,Sanju Samson,Rajasthan Royals,55,32,3,4,T Natarajan
4,Devdutt Padikkal,Rajasthan Royals,2,5,0,0,Umran Malik
4,Riyan Parag,Rajasthan Royals,7,6,1,0,T Natarajan
4,Shimron Hetmyer,Rajasthan Royals,22,16,1,1,Not Out
4,Ravichandran Ashwin,Rajasthan Royals,1,2,0,0,Not Out
4,Abhishek Sharma,Sunrisers Hyderabad,0,3,0,0,Trent Boult
4,Mayank Agarwal,Sunrisers Hyderabad,27,23,3,0,Yuzvendra Chahal
4,Rahul Tripathi,Sunrisers Hyderabad,0,2,0,0,Trent Boult
4,Harry Brook,Sunrisers Hyderabad,13,21,1,0,Yuzvendra Chahal
4,Washington Sundar,Sunrisers Hyderabad,1,5,0,0,Jason Holder
4,Glenn Phillips,Sunrisers Hyderabad,8,6,0,1,Ravichandran Ashwin
4,Abdul Samad,Sunrisers Hyderabad,32,32,2,1,Not Out
4,Adil Rashid,Sunrisers Hyderabad,18,13,1,1,Yuzvendra Chahal
4,Bhuvneshwar Kumar,Sunrisers Hyderabad,6,10,0,0,Yuzvendra Chahal
4,Umran Malik,Sunrisers Hyderabad,19,8,1,2,Not Out
